name,lat,lon,2020pop,2015pop,2010pop,2000pop,1990pop
Israel,31.046051,34.851612,8757489,8007778,7328445,6116958,4803254
Italy,41.87194,12.56738,59500579,60232906,59822450,56966397,56756561
Jamaica,18.109581,-77.297508,2820436,2794445,2733896,2612205,2392030
Japan,36.204824,138.252924,125244761,127250933,128105431,126803861,123686321
Jordan,30.585164,36.238414,10928721,9494246,6931258,5056174,3480587
Kazakhstan,48.019573,66.923684,18979243,17835909,16627837,15236253,16866563
Kenya,-0.023559,37.906193,51985780,46851488,41517895,30851606,23162269
Kiribati,-3.370417,-168.734039,126463,116707,107995,88826,75124
Kuwait,29.31166,47.481766,4360444,3908743,2943356,1934901,1674938
Kyrgyzstan,41.20438,74.766098,6424874,5914980,5483774,4935182,4394734
Lao People's Democratic Republic,19.85627,102.495496,7319399,6787419,6323418,5430853,4314443
Latvia,56.879635,24.603189,1897052,1991955,2101530,2392530,2689391
Lebanon,33.854721,35.862285,5662923,6398940,4995800,4320642,3593700
Lesotho,-29.609988,28.233608,2254100,2118521,2022747,1998630,1798997
Liberia,6.428055,-9.429499,5087584,4612329,4019956,2895224,2209731
Libya,26.3351,17.228331,6653942,6192235,6491988,5154790,4236983
Liechtenstein,47.166,9.555373,38756,37355,35926,33026,28765
Lithuania,55.169438,23.881275,2820267,2963765,3139019,3599637,3785847
Luxembourg,49.815273,6.129583,630399,569408,507070,435628,381267
Madagascar,-18.766947,46.869107,28225177,24850912,21731053,16216431,11882762
Malawi,-13.254308,34.301525,19377061,16938942,14718422,11229387,9539665
Malaysia,4.210484,101.975766,33199993,31068833,28717731,22945150,17517054
Maldives,3.202778,73.22068,514438,435582,361575,282507,224957
Mali,17.570692,-3.996166,21224040,18112907,15529181,11239101,8945026
Malta,35.937496,14.375416,515357,456579,418755,399212,365392
Marshall Islands,7.131474,171.184478,43413,49410,53416,54224,46047
Martinique,14.641528,-61.024174,370391,383515,392181,432543,374271
Mauritania,21.00789,-10.940835,4498604,3946220,3419461,2695003,2006027
Mauritius,-20.348404,57.552152,1297828,1293153,1283330,1215930,1090290
Mayotte,-12.8275,45.166244,305587,249545,211786,159215,92659
Mexico,23.634501,-102.552784,125998302,120149897,112532401,97873442,81720428
Micronesia,7.425554,150.550812,112106,109462,107588,111709,98603
Monaco,43.750298,7.412841,36922,36760,33178,32465,30329
Mongolia,46.862496,103.846656,3294335,2964749,2702520,2450979,2161433
Montenegro,42.708678,19.37439,629048,633966,631044,633324,621442
Montserrat,16.742498,-62.187366,4500,5059,4938,5138,10805
Morocco,31.791702,-7.09262,36688772,34680458,32464865,28554415,24570814
Mozambique,-18.665695,35.529562,31178239,26843246,23073723,17768505,13303459
Myanmar,21.913965,95.956223,53423198,51483949,49390988,45538332,40099553
Namibia,-22.95764,18.49041,2489098,2282704,2099271,1819141,1369011
Nauru,-0.522778,166.931503,12315,11185,10241,10377,9598
Nepal,28.394857,84.124008,29348627,27610325,27161567,24559500,19616530
Netherlands,52.132633,5.291266,17434557,17041107,16617116,15899135,14944548
New Caledonia,-20.904305,165.618042,286403,283032,261426,221537,177264
New Zealand,-40.900557,174.885971,5061133,4590590,4346338,3855266,3397389
Nicaragua,12.865416,-85.207229,6755895,6298598,5855734,5123222,4227820
Niger,17.607789,8.081666,24333639,20128124,16647543,11622665,8370647
Nigeria,9.081999,8.675277,208327405,183995785,160952853,122851984,95214257
Niue,-19.054445,-169.867233,1942,1847,1812,2074,2533
North Macedonia,41.608635,21.745275,2111072,2107962,2093828,2037936,2044174
Northern Mariana Islands,17.33083,145.38469,49587,51514,54087,80338,48002
