Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
Belgium,Democratic Republic of the Congo,-4.038333,21.758664,50.503887,4.469936,french, Indo-European,dutch, Indo-European
Belgium,Democratic Republic of the Congo,-4.038333,21.758664,50.503887,4.469936,french, Indo-European,french, Indo-European
Belgium,Rwanda,-1.940278,29.873888,50.503887,4.469936,kinyarwanda, Niger-Congo,dutch, Indo-European
Belgium,Rwanda,-1.940278,29.873888,50.503887,4.469936,kinyarwanda, Niger-Congo,french, Indo-European
Belgium,China*,35.86166,104.195397,50.503887,4.469936,mandarin, Sino-Tibetan,dutch, Indo-European
Belgium,China*,35.86166,104.195397,50.503887,4.469936,mandarin, Sino-Tibetan,french, Indo-European
Belgium,Guatemala,15.783471,-90.230759,50.503887,4.469936,spanish, Indo-European,dutch, Indo-European
Belgium,Guatemala,15.783471,-90.230759,50.503887,4.469936,spanish, Indo-European,french, Indo-European
Sweden,Estonia,58.595272,25.013607,60.128161,18.643501,estonian, Uralic,swedish, Indo-European
Sweden,United States of America*,37.09024,-95.712891,60.128161,18.643501,english, Indo-European,swedish, Indo-European
Sweden,Germany,51.165691,10.451526,60.128161,18.643501,german, Indo-European,swedish, Indo-European
Sweden,Ghana,7.946527,-1.023194,60.128161,18.643501,english, Indo-European,swedish, Indo-European
Poland,Latvia,56.879635,24.603189,51.919438,19.145136,latvian, Indo-European,polish, Indo-European
Poland,Latvia,56.879635,24.603189,51.919438,19.145136,russian, Indo-European,polish, Indo-European
Poland,Gambia,13.443182,-15.310139,51.919438,19.145136,english, Indo-European,polish, Indo-European
Poland,Sierra Leone,8.460555,-11.779889,51.919438,19.145136,english, Indo-European,polish, Indo-European
Poland,Trinidad and Tobago,10.691803,-61.222503,51.919438,19.145136,english, Indo-European,polish, Indo-European
