United Kingdom,8.54,8.31,8.16
United Republic of Tanzania,5.1,5.58,5.64
United States of America,7.92,8.05,8.18
Uruguay,8.61,8.17,8.1
Uzbekistan,2.12,1.95,1.74
Venezuela (Bolivarian Republic of),2.76,5,5.18
Viet Nam,2.94,3.53,2.94
Yemen,1.95,2.24,2.64
Zambia,4.86,6.28,5.68
Zimbabwe,3.16,3.05,2.64
